domain,L,metric,kind,covar,covar_label,rho,p,n
wolf2,1,storage,temporary,porosity_col,Porosity (col.),0.36351141699879613,8.035345404265545e-47,1426
wolf2,1,storage,temporary,log10_K_col,log₁₀ K (col.),0.046740406844369434,0.07765478045920195,1426
wolf2,1,storage,temporary,log10_K_top,log₁₀ K (top),-0.19856318336085396,3.1702572356812375e-14,1426
wolf2,1,storage,temporary,flowbarrier_min,Flow barrier (min),-0.07491573394792735,0.004635538355134546,1426
wolf2,1,storage,temporary,sand_frac,Sand fraction,0.10397421298490082,8.415107719850598e-05,1423
wolf2,1,storage,temporary,clay_frac,Clay fraction,0.10602834604000308,6.058302700679704e-05,1423
wolf2,1,storage,temporary,mannings,Mannings,0.28899303310559016,3.2067915152496977e-29,1426
wolf2,1,storage,persistent,dist_to_stream,Dist. to stream,-0.3000803642924209,2.17425406688427e-31,1420
wolf2,1,storage,persistent,HAND,HAND,-0.015622696069773078,0.5564423909244229,1420
wolf2,1,storage,persistent,rel_elev,Rel. elevation,-0.01335021239822945,0.6152647192088158,1420
wolf2,1,storage,persistent,slope_mag,Slope,0.06257581058216226,0.018097603272358827,1426
wolf2,1,storage,persistent,baseline_WTD,Baseline WTD,0.3621784139714681,1.8509639207261755e-46,1426
wolf2,1,storage,persistent,local_recharge_base,Local recharge (base),-0.36074471347876624,4.5196312398381665e-46,1426
wolf2,1,storage,persistent,PME_static,Static PME,-0.02068842523853082,0.43507658995702947,1426
wolf2,1,storage,persistent,porosity_col,Porosity (col.),0.3337709649951331,3.646090398171158e-39,1426
wolf2,1,storage,persistent,log10_K_col,log₁₀ K (col.),0.2947188011485255,2.159973689562998e-30,1426
wolf2,1,storage,persistent,log10_K_top,log₁₀ K (top),-0.5513679370774301,4.168951534867593e-121,1426
wolf2,1,storage,persistent,flowbarrier_min,Flow barrier (min),-0.4279398469932782,1.0570214747138289e-66,1426
wolf2,1,storage,persistent,sand_frac,Sand fraction,-0.20310899620357445,8.382159119584844e-15,1423
wolf2,1,storage,persistent,clay_frac,Clay fraction,0.2709356289462531,1.1731169023171674e-25,1423
wolf2,1,storage,persistent,mannings,Mannings,-0.07679765051662386,0.003699274821057719,1426
wolf2,1,WTD,temporary,dist_to_stream,Dist. to stream,-0.08129558446084709,0.0021623109338850042,1420
wolf2,1,WTD,temporary,HAND,HAND,0.12115724161987307,4.5781780340965594e-06,1420
wolf2,1,WTD,temporary,rel_elev,Rel. elevation,-0.10718582839165194,5.113852746413716e-05,1420
wolf2,1,WTD,temporary,slope_mag,Slope,-0.2925312208233072,6.101277235094684e-30,1426
wolf2,1,WTD,temporary,baseline_WTD,Baseline WTD,-0.06484308645614849,0.014305811833989825,1426
wolf2,1,WTD,temporary,local_recharge_base,Local recharge (base),0.10107985958097866,0.00013020602142508526,1426
wolf2,1,WTD,temporary,PME_static,Static PME,0.04950115947650188,0.061644596154931855,1426
wolf2,1,WTD,temporary,porosity_col,Porosity (col.),-0.12438438907881715,2.3989317828905784e-06,1426
wolf2,1,WTD,temporary,log10_K_col,log₁₀ K (col.),0.2505815994552744,4.535029486246503e-22,1426
wolf2,1,WTD,temporary,log10_K_top,log₁₀ K (top),0.06100153174323305,0.02122255926277552,1426
wolf2,1,WTD,temporary,flowbarrier_min,Flow barrier (min),0.021571618941018188,0.4157220833208694,1426
wolf2,1,WTD,temporary,sand_frac,Sand fraction,-0.20767321251977197,2.001806267661912e-15,1423
wolf2,1,WTD,temporary,clay_frac,Clay fraction,-0.1328799792999173,4.7266511878867416e-07,1423
wolf2,1,WTD,temporary,mannings,Mannings,-0.09756823566674801,0.0002222519096559847,1426
wolf2,1,WTD,persistent,dist_to_stream,Dist. to stream,-0.03063328156275576,0.24870875722180802,1420
wolf2,1,WTD,persistent,HAND,HAND,0.014144672867498998,0.594390620137893,1420
wolf2,1,WTD,persistent,rel_elev,Rel. elevation,0.15327793000727158,6.038641366588853e-09,1420
wolf2,1,WTD,persistent,slope_mag,Slope,0.1842137469545281,2.0760263380937193e-12,1426
